epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,169.576,2.60999,4.72518,1.55446,0.00151,0.1275,0.01079,0.0079,1.58226,4.02388,1.20042,0.000365704,0.000365704,0.000365704
2,420.467,1.70687,2.79952,1.17164,0.50307,0.54,0.48166,0.26191,1.49595,2.23242,1.18942,0.000728751,0.000728751,0.000728751
3,661.089,1.48435,2.14367,1.10852,0.58809,0.64345,0.64687,0.38026,1.37959,1.91413,1.08545,0.00108446,0.00108446,0.00108446
4,890.02,1.417,1.83975,1.05313,0.70858,0.70149,0.72339,0.48235,1.16101,1.5245,1.05666,0.001078,0.001078,0.001078
5,1097.36,1.23782,1.51877,1.0049,0.7995,0.86358,0.9096,0.61979,1.12739,1.28171,1.05629,0.001067,0.001067,0.001067
6,1581.3,1.163,1.42084,0.98812,0.86987,0.87352,0.93635,0.68239,0.98777,1.10304,1.04584,0.00105601,0.00105601,0.00105601
7,1814.58,1.08316,1.27594,0.97823,0.9239,0.9346,0.96661,0.74284,0.91892,1.0351,1.01727,0.00104501,0.00104501,0.00104501
8,2044.95,0.99463,1.37276,0.95146,0.92684,0.96083,0.97486,0.74616,0.91452,0.98728,1.00129,0.00103401,0.00103401,0.00103401
9,2270.24,0.94968,1.05015,0.92981,0.96472,0.94999,0.97594,0.74986,0.91289,0.92696,0.99446,0.00102301,0.00102301,0.00102301
10,2486.87,0.92125,0.98392,0.92393,0.97652,0.95153,0.97691,0.78885,0.78495,0.83701,0.97519,0.00101201,0.00101201,0.00101201
11,2706.95,0.91256,0.96914,0.93329,0.97175,0.93439,0.97366,0.76888,0.84004,0.77474,0.9824,0.00100101,0.00100101,0.00100101
12,2929.43,0.84912,0.90067,0.92979,0.97912,0.96804,0.98621,0.8033,0.74749,0.75966,0.96083,0.000990012,0.000990012,0.000990012
13,3153.1,0.81503,0.82709,0.89229,0.98499,0.96421,0.9832,0.8222,0.72901,0.69225,0.94736,0.000979013,0.000979013,0.000979013
14,3356.08,0.82552,0.824,0.90163,0.98317,0.97498,0.9871,0.81275,0.72083,0.67605,0.95955,0.000968014,0.000968014,0.000968014
15,3511.63,0.79484,0.77639,0.8905,0.98876,0.96781,0.98982,0.83152,0.64668,0.63905,0.93352,0.000957015,0.000957015,0.000957015
16,3660.4,0.79678,0.7778,0.89184,0.97722,0.97245,0.98543,0.83167,0.63878,0.64517,0.93122,0.000946016,0.000946016,0.000946016
17,3811.63,0.7417,0.7361,0.86605,0.98797,0.96965,0.99412,0.84113,0.60502,0.59948,0.92114,0.000935018,0.000935018,0.000935018
18,3977.15,0.77039,0.69587,0.85552,0.99209,0.98757,0.99335,0.8163,0.68286,0.59634,0.92061,0.000924019,0.000924019,0.000924019
19,4129.91,0.75312,0.71568,0.86095,0.98721,0.98191,0.98991,0.84626,0.61621,0.56257,0.91189,0.00091302,0.00091302,0.00091302
20,4283.93,0.69362,0.65983,0.86545,0.97553,0.98584,0.99262,0.85599,0.59151,0.54739,0.91585,0.000902021,0.000902021,0.000902021
21,4434.2,0.68178,0.66414,0.8578,0.99217,0.9794,0.99324,0.86069,0.57278,0.5329,0.90735,0.000891022,0.000891022,0.000891022
22,4585.18,0.69544,0.64353,0.87031,0.98832,0.97515,0.99002,0.86288,0.5559,0.51542,0.91008,0.000880023,0.000880023,0.000880023
23,4735.8,0.69333,0.64134,0.84976,0.9893,0.97921,0.99424,0.86506,0.56085,0.51478,0.90394,0.000869024,0.000869024,0.000869024
24,4886.57,0.66562,0.6263,0.85675,0.99247,0.97583,0.99417,0.85752,0.56607,0.50735,0.90118,0.000858025,0.000858025,0.000858025
25,5038.88,0.63059,0.60158,0.84153,0.99141,0.97381,0.99237,0.85129,0.56999,0.50087,0.90265,0.000847026,0.000847026,0.000847026
